type;dn;de;t;di;k
Carbon steel;15;21.3;2.3;16.7;0.15
Carbon steel;20;26.9;2.3;22.3;0.15
Carbon steel;25;33.7;2.9;27.9;0.15
Carbon steel;32;42.4;2.9;36.6;0.15
Carbon steel;40;48.3;2.9;42.5;0.15
Carbon steel;50;60.3;3.2;53.9;0.15
Carbon steel;50;60.3;3.6;53.1;0.15
Carbon steel;65;76.1;3.2;69.7;0.15
Carbon steel;80;88.9;3.6;81.7;0.15
Carbon steel;100;114.3;4.0;106.3;0.15
Carbon steel;125;139.7;4.5;130.7;0.15
Carbon steel;125;139.7;5.0;129.7;0.15
Carbon steel;150;168.3;5.0;158.3;0.15
Carbon steel;200;219.1;6.3;206.5;0.15
Carbon steel;250;273.0;7.1;258.8;0.15
Carbon steel;300;323.9;8.0;307.9;0.15
Carbon steel;350;355.6;8.0;339.6;0.15
Carbon steel;400;406.4;8.8;388.8;0.15
Carbon steel;450;457.0;10.0;437.0;0.15
Carbon steel;500;508.0;11.0;486.0;0.15
PPstabi;16;17.9;2.2;13.5;0.0015
PPstabi;20;21.9;2.8;16.3;0.0015
PPstabi;25;26.9;3.5;19.9;0.0015
PPstabi;32;33.9;4.4;25.1;0.0015
PPstabi;40;41.9;5.5;30.9;0.0015
PPstabi;50;52;6.9;38.2;0.0015
PPstabi;63;65;8.6;47.8;0.0015
PPstabi;75;77;8.4;60.2;0.0015
PPstabi;90;92;10.1;71.8;0.0015
PPstabi;110;112;12.3;87.4;0.0015
PPstabi;125;125;14;97.0;0.0015
PEX;16;16;2.0;12.0;0.0015
PEX;20;20;2.0;16.0;0.0015
PEX;25;25;2.5;20.0;0.0015
PEX;32;32;3.0;26.0;0.0015
PEX;40;40;3.5;33.0;0.0015
PEX;50;50;4.0;42.0;0.0015
PEX;63;63;4.5;54.0;0.0015